Zipcode,lat,long
30101,34.034515,-84.707349
30102,34.110194,-84.631394
30103,34.366336,-84.917546
30004,34.145635,-84.291881
30005,34.08904,-84.217046
30009,34.079085,-84.305206
30022,34.029866,-84.239742
30303,33.753271,-84.389938
30305,33.835696,-84.389116
30306,33.78814,-84.352625
30307,33.771079,-84.3336
30308,33.771127,-84.378108
30309,33.799896,-84.3858
30310,33.726586,-84.425995
30311,33.723262,-84.475994
30312,33.744724,-84.375241
30313,33.764539,-84.397339
30314,33.757576,-84.432245
30315,33.702829,-84.382515
30316,33.711546,-84.331796
30317,33.747989,-84.315586
30318,33.792328,-84.447753
30319,33.875954,-84.334763
30322,33.793594,-84.326128
30324,33.818405,-84.358175
30326,33.849518,-84.363971
30327,33.869694,-84.4173
30328,33.932538,-84.385947
30329,33.827487,-84.323013
30331,33.707455,-84.544149
30332,33.778271,-84.404537
30334,33.748855,-84.387243
30336,33.738375,-84.5676
30337,33.640147,-84.450081
30338,33.946218,-84.318119
30339,33.876174,-84.462357
30340,33.896768,-84.252292
30341,33.888505,-84.289532
30342,33.882179,-84.375289
30344,33.676362,-84.460793
30345,33.851652,-84.283685
30346,33.924252,-84.338855
30349,33.622488,-84.523908
30350,33.980254,-84.330016
30354,33.661498,-84.386895
30360,33.933788,-84.272659
30363,33.791004,-84.398978
30011,34.019859,-83.837163
30106,33.839078,-84.62821
30168,33.783542,-84.588106
30620,33.929472,-83.758422
30517,34.130308,-83.797344
30625,33.520284,-83.33353
30518,34.130846,-84.027398
30519,34.087409,-83.945058
30114,34.247838,-84.524468
30115,34.204092,-84.400462
30116,33.54059,-85.003087
30117,33.581851,-85.132439
30118,33.572388,-85.10362
30120,34.167879,-84.852014
30121,34.209221,-84.778006
30021,33.806929,-84.237588
30288,33.652831,-84.327109
30012,33.717806,-84.002515
30013,33.64517,-83.972188
30094,33.612505,-84.051523
30014,33.580062,-83.823102
30016,33.517433,-83.928703
30028,34.293184,-84.175894
30040,34.210349,-84.187794
30041,34.198721,-84.101962
30019,33.97561,-83.883747
30534,34.4311,-84.144329
30030,33.771947,-84.29027
30032,33.740668,-84.264466
30033,33.811659,-84.28323
30034,33.690867,-84.248622
30035,33.724452,-84.204244
30134,33.77752,-84.78139
30135,33.672278,-84.733011
30096,33.974292,-84.145426
30097,34.026166,-84.145652
30213,33.589297,-84.636762
30214,33.490464,-84.485997
30215,33.391613,-84.456432
30297,33.615841,-84.373002
30220,33.225499,-84.823547
30017,33.890533,-83.961879
30228,33.404147,-84.30735
30233,33.292157,-83.969544
30143,34.459958,-84.431752
30144,34.036845,-84.591033
30152,33.988892,-84.646708
30043,33.999276,-84.009512
30044,33.922046,-84.065671
30045,33.936518,-83.927669
30046,33.948632,-83.995766
30047,33.870148,-84.112326
30122,33.766909,-84.641356
30038,33.66646,-84.139855
30058,33.73835,-84.107376
30248,33.351568,-84.106002
30052,33.815151,-83.893561
30250,33.436535,-84.314213
30126,33.815023,-84.553798
30650,33.583689,-83.473544
31816,32.881465,-84.60815
30008,33.900567,-84.590924
30060,33.925711,-84.541608
30062,34.006497,-84.472974
30064,33.940455,-84.609708
30066,34.032388,-84.505154
30067,33.934278,-84.462185
30068,33.968116,-84.431704
30257,33.143414,-84.18622
30655,33.781688,-83.696095
30656,33.862137,-83.716175
31064,33.286454,-83.702299
30263,33.388415,-84.858937
30265,33.418686,-84.713164
30071,33.940652,-84.206734
30092,33.972386,-84.231986
30093,33.908536,-84.177349
30269,33.391887,-84.570656
30127,33.874556,-84.694713
30273,33.583798,-84.271027
30274,33.554561,-84.399687
30296,33.56316,-84.441157
30075,34.052688,-84.391587
30076,34.028499,-84.311416
30276,33.26367,-84.570824
30277,33.375308,-84.649196
30080,33.869434,-84.496384
30082,33.854654,-84.536437
30039,33.799244,-84.034408
30078,33.861019,-84.017993
30025,33.655902,-83.696581
30666,33.962081,-83.584612
30281,33.567898,-84.193388
30083,33.797412,-84.197984
30087,33.805802,-84.126929
30088,33.756052,-84.182363
30024,34.062971,-84.09077
30179,33.781553,-85.014782
30084,33.854097,-84.216155
30290,33.476407,-84.589709
30180,33.718878,-84.918801
30183,34.338804,-84.602425
30680,33.996386,-83.69955
30187,33.662549,-84.847233
30188,34.123533,-84.457654
30189,34.124224,-84.570679