Address,Latitude,Longitude,,,,
"225 Peachtree St NE, Atlanta, GA 30303",33.760216,-84.387085,,,,
"2333 Peachtree Rd, Atlanta, GA 30305",33.821831,-84.389754,,,,
"2900 Peachtree Rd NW, Atlanta, GA 30305",33.834378,-84.383772,,,,
"1031 Ponce De Leon Ave NE, Atlanta, GA 30306",33.773662,-84.353673,,,,
"2625 Piedmont Rd NE, Atlanta, GA 30324",33.827453,-84.365794,,,,
"1715 Howell Mill Rd NW, Atlanta, GA 30318",33.801842,-84.413360,,,,
"3400 Around Lenox Rd, Atlanta, GA 30326",33.845752,-84.364619,,,,
"1380 Atlantic Dr NW, Atlanta, GA 30363",33.792726,-84.397872,,,,
"3330 Piedmont Rd NE, Atlanta, GA 30305",33.846343,-84.374987,,,,
"1512 Piedmont Ave NE, Atlanta, GA 30324",33.796181,-84.370511,,,,
"3500 Peachtree Rd NE, Atlanta, GA 30326",33.852804,-84.362256,,,,
"1250 Caroline St NE, Atlanta, GA 30307",33.758614,-84.348002,,,,
"3035 Peachtree Road Northeast, Atlanta, GA 30305",33.837367,-84.380243,,,,
"2278 Peachtree Rd NW, Atlanta, GA 30309",33.816431,-84.390161,,,,
"650 Ponce De Leon Ave NE, Atlanta, GA 30308",33.773717,-84.365295,,,,
"3393 Peachtree Rd NE, Atlanta, GA 30326",33.847572,-84.361954,,,,
"1801 Howell Mill Rd NW, Atlanta, GA 30318",33.803135,-84.411604,,,,
"2943 N Druid Hills Rd NE, Atlanta, GA 30329",33.814585,-84.312201,,,,
"1544 Piedmont Ave NE, Atlanta, GA 30324",33.798174,-84.370805,,,,
"2980 Cobb Pkwy, Atlanta, GA 30339",33.880019,-84.462304,,,,
,,,,,,